0,tenhuyen,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
2,Thị xã La Gi,374.0,396.0,548.0,661.0,1053.0,1175.9,1212.0,1291.0,1300.0,1500.0,1550.0,1580.0
3,Huyện Tuy Phong,41.0,87.0,71.0,100.0,132.0,203.9,284.0,314.0,400.0,609.0,697.3,670.0
4,Huyện Bắc Bình,669.0,633.0,1140.0,1350.0,2100.0,2396.4,2796.0,3041.0,4060.0,4214.0,4549.0,4267.0
5,Huyện Hàm Thuận Bắc,4784.0,6116.0,6334.0,6770.0,8002.0,8678.9,8970.0,8950.0,8970.0,8988.7,8940.0,7869.8
6,Huyện Hàm Thuận Nam,7026.0,10796.0,10827.0,11029.0,11719.0,12182.9,12275.0,12373.0,12497.0,12856.0,15201.2,15194.6
7,Huyện Tánh Linh,29.0,23.0,31.0,49.0,70.0,122.7,138.0,122.0,125.0,117.0,112.0,84.0
8,Huyện Đức Linh,,,,,15.0,17.2,17.2,28.9,28.9,19.9,12.6,
9,Huyện Hàm Tân,146.0,169.0,233.0,312.0,601.0,888.0,920.5,1143.5,1377.0,1817.7,2073.0,2190.0
10,Huyện Phú Quý,,,,,,0.6,0.4,1.0,1.0,1.0,2.2,2.2
